probMove 0.055 time 25200 win rate 0.647887323943662 , total bet matches 71 , pnl 17.340000000000007 , per match return 0.24422535211267615
probMove 0.06 time 25200 win rate 0.6557377049180327 , total bet matches 61 , pnl 16.41 , per match return 0.26901639344262296
probMove 0.065 time 25200 win rate 0.6415094339622641 , total bet matches 53 , pnl 13.010000000000002 , per match return 0.24547169811320757
probMove 0.005 time 27000 win rate 0.5395833333333333 , total bet matches 480 , pnl 25.34999999999998 , per match return 0.05281249999999996
probMove 0.045 time 27000 win rate 0.6055045871559633 , total bet matches 109 , pnl 17.06 , per match return 0.1565137614678899
probMove 0.05 time 27000 win rate 0.5934065934065934 , total bet matches 91 , pnl 11.130000000000003 , per match return 0.12230769230769234
probMove 0.055 time 27000 win rate 0.6438356164383562 , total bet matches 73 , pnl 17.650000000000002 , per match return 0.24178082191780825
probMove 0.06 time 27000 win rate 0.6507936507936508 , total bet matches 63 , pnl 16.720000000000002 , per match return 0.2653968253968254
probMove 0.065 time 27000 win rate 0.6363636363636364 , total bet matches 55 , pnl 13.320000000000004 , per match return 0.24218181818181825
probMove 0.07 time 27000 win rate 0.66 , total bet matches 50 , pnl 14.750000000000004 , per match return 0.2950000000000001
probMove 0.005 time 28800 win rate 0.5480984340044742 , total bet matches 447 , pnl 30.149999999999977 , per match return 0.06744966442953015
probMove 0.055 time 28800 win rate 0.6351351351351351 , total bet matches 74 , pnl 16.720000000000002 , per match return 0.22594594594594597
probMove 0.06 time 28800 win rate 0.6349206349206349 , total bet matches 63 , pnl 14.880000000000003 , per match return 0.23619047619047623
probMove 0.065 time 28800 win rate 0.6363636363636364 , total bet matches 55 , pnl 13.320000000000004 , per match return 0.24218181818181825
probMove 0.07 time 28800 win rate 0.66 , total bet matches 50 , pnl 14.750000000000004 , per match return 0.2950000000000001
probMove 0.005 time 30600 win rate 0.5575 , total bet matches 400 , pnl 37.649999999999984 , per match return 0.09412499999999996
probMove 0.055 time 30600 win rate 0.618421052631579 , total bet matches 76 , pnl 14.720000000000002 , per match return 0.19368421052631582
probMove 0.06 time 30600 win rate 0.625 , total bet matches 64 , pnl 13.880000000000003 , per match return 0.21687500000000004
probMove 0.065 time 30600 win rate 0.625 , total bet matches 56 , pnl 12.320000000000004 , per match return 0.22000000000000006
probMove 0.07 time 30600 win rate 0.6470588235294118 , total bet matches 51 , pnl 13.750000000000004 , per match return 0.269607843137255
probMove 0.055 time 32400 win rate 0.6197183098591549 , total bet matches 71 , pnl 14.010000000000002 , per match return 0.19732394366197184
probMove 0.06 time 32400 win rate 0.6271186440677966 , total bet matches 59 , pnl 13.170000000000002 , per match return 0.22322033898305088
probMove 0.065 time 32400 win rate 0.6226415094339622 , total bet matches 53 , pnl 11.21 , per match return 0.21150943396226415
probMove 0.055 time 34200 win rate 0.5833333333333334 , total bet matches 72 , pnl 9.52 , per match return 0.1322222222222222
probMove 0.06 time 34200 win rate 0.6 , total bet matches 60 , pnl 10.48 , per match return 0.17466666666666666
probMove 0.065 time 34200 win rate 0.6037735849056604 , total bet matches 53 , pnl 9.520000000000003 , per match return 0.17962264150943402
probMove 0.055 time 36000 win rate 0.5882352941176471 , total bet matches 68 , pnl 9.450000000000003 , per match return 0.13897058823529415
probMove 0.06 time 36000 win rate 0.5932203389830508 , total bet matches 59 , pnl 9.250000000000004 , per match return 0.1567796610169492
probMove 0.065 time 36000 win rate 0.5961538461538461 , total bet matches 52 , pnl 8.29 , per match return 0.15942307692307692
probMove 0.055 time 37800 win rate 0.6060606060606061 , total bet matches 66 , pnl 11.620000000000001 , per match return 0.17606060606060608
probMove 0.06 time 37800 win rate 0.625 , total bet matches 56 , pnl 12.419999999999998 , per match return 0.22178571428571425
